Origin_Country,Destination_Country,Transport_Mode,Carrier_Name,Route_Code,Commodity_Type,Declared_Value_USD,Weight_kg,HS_Code,Document_Status,Compliance_Score,Prior_Offense_Count,Tariff_Category,Route_Risk_Index,Inspection_Type,Customs_Delay_Days,Planned_Transit_Days,Actual_Transit_Days,Shipment_Month,Shipment_Weekeday,Shipment_Weekday,Has_Prior_Offense,Compliance_Risk_Score,Document_Issue,Arrival_Delay_Days
4,2,0,49,754,1,0.8237394779266071,0.34366876337310465,9935.21,1,-1.2361709939457992,0.28641736834403425,1,-1.1656164950989427,2,3,-0.7341744214795182,-0.584849831562708,1,0,0,1,1.41,1,3
3,1,3,29,203,3,-1.5241291837636686,1.2726940782888425,9928.63,0,0.3280524078836831,0.28641736834403425,0,0.7264672889690875,1,1,0.865101837915308,0.6953853359234642,8,5,5,1,1.14,0,1
2,3,2,1,220,0,-1.0930210904611064,-1.0984143088453868,2674.21,2,-0.7147631933359718,-1.471103811922079,2,0.07283834538194989,1,0,-0.3343553566308117,-0.584849831562708,9,3,3,0,0.42000000000000004,1,0
1,2,3,17,80,2,-0.22161510007532143,-0.7239656327819401,5803.9,1,0.38598660795144174,-0.2994230250780035,0,-1.2344195417923256,2,3,0.5985557946828369,0.6953853359234642,2,6,6,1,0.83,1,3
4,2,2,46,875,4,-0.13756519024789615,0.9913997971586099,2654.58,2,-1.0623683937425232,0.28641736834403425,0,0.038436822035258396,1,0,1.5314669459964856,1.2074794029179328,7,3,3,1,1.38,1,0
5,8,2,39,699,3,0.3374520343721505,-1.5740222875554684,2169.87,1,0.3280524078836831,-0.8852634185000411,0,-1.1312149717522513,0,0,1.1316478811477788,0.8234088526720813,5,5,5,1,0.54,1,0
9,6,0,38,332,1,0.6573432381447517,-0.20678966265904827,4752.14,2,-1.3520393940813165,0.28641736834403425,2,0.0040352986885669115,2,0,-0.6009013998632827,-0.8408968650599424,4,1,1,1,1.43,1,0
0,5,1,18,658,5,-1.606681706607568,1.4225282711332965,3340.43,0,-0.8306315934714885,-0.8852634185000411,0,0.5544596722356304,0,1,0.9983748595315435,0.8234088526720813,5,3,3,1,0.74,0,1
1,7,0,49,521,5,0.17822064199437368,-1.093377040012577,2489.16,0,1.6026048093743719,-0.8852634185000411,0,0.967277952395928,2,2,-0.20108233501457615,-0.20077928131685638,6,5,5,1,0.32,0,2
8,4,1,27,257,2,1.546676633754953,1.3721976769737179,1188.97,1,0.3280524078836831,-1.471103811922079,0,1.4488992792496083,0,0,-0.06780931339834063,-0.3288027980654736,4,2,2,0,0.24,1,0
1,8,1,2,464,1,-0.37235774449663334,-0.7930000691535946,5315.74,0,1.1391312088323036,0.872257761766072,1,-0.47758602816511364,0,1,-0.46762837824704717,-0.584849831562708,4,2,2,1,1.2999999999999998,0,1
6,3,0,28,797,2,-0.7477283447258057,0.14932700301424257,1009.86,2,-1.2941051940135577,0.28641736834403425,1,1.036080999089311,2,1,-0.20108233501457615,-0.3288027980654736,9,4,4,1,1.42,1,1
1,3,3,46,749,5,-1.7072512219313085,1.0965720772040852,2133.78,0,0.6756576082902344,-0.8852634185000411,0,0.7952703356624705,1,0,-0.7341744214795182,-0.9689203818085597,8,0,0,1,0.48000000000000004,0,0
9,5,1,5,552,3,0.9605769004880829,-1.4781949129212784,4295.49,2,-0.48302639306493733,1.4580981551881098,0,-1.3032225884857087,1,3,0.865101837915308,0.9514323694206985,12,6,6,1,1.88,1,3
6,7,0,44,346,1,-0.5736581744058713,-1.5146133843852272,4770.85,0,-0.6568289932682132,-1.471103811922079,1,-0.5807905982051879,0,2,-0.7341744214795182,-0.7128733483113252,5,6,6,0,0.41000000000000003,0,2
2,1,2,44,526,4,0.8154206613514635,0.47875596584629626,5562.95,2,1.3129338090355793,-0.8852634185000411,0,-0.09916927135150758,2,4,-1.5338125511769314,-1.2249674153057941,10,4,4,1,0.36999999999999994,1,4
0,7,1,19,194,1,0.9240466305737471,0.21385034765957878,2588.94,2,0.907394408561269,-0.2994230250780035,2,-0.030366224658124583,1,3,1.664739967612721,1.7195734699124017,9,2,2,1,0.74,1,3
